Program,Year,State,Data Item,Value
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",16
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",16
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2020,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2019,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2018,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",3
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2017,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2016,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",3
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2015,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",3
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",3
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2014,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",3
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",10
SURVEY,2013,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",4
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",2
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",1
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",1
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",1
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",1
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",1
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",0
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",0
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",0
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",0
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",0
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",0
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",0
SURVEY,2012,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",0
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",8
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2011,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",6
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",5
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",7
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",9
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",15
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",12
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2010,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",11
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",13
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",16
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",16
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",14
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",16
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",18
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",19
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",18
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",19
SURVEY,2009,KANSAS,"CORN - CONDITION, MEASURED IN PCT EXCELLENT",20
